dataset,model,rmse,rank
kin8nm,InteractionAugmentedRidgeV1,0.777480,6
kin8nm,MassConservingGCVRidgeV1,0.811901,45
kin8nm,SparseQuantileAdditiveV1,0.838332,60
kin8nm,CalibratedDominantHingeRidgeV1,0.811869,38
kin8nm,ValGatedSparseHingeRidgeV1,0.811846,36
kin8nm,SymbolicResidualRidgeV1,0.802240,11
kin8nm,CrossFitHingeRidgeV1,0.811686,33
kin8nm,DualKnotSparseAdditiveRidgeV1,0.816201,53
kin8nm,ValGatedResidualSymbolicRidgeV1,0.804837,17
kin8nm,AdaptiveHuberRidgeMapV1,0.812450,48
kin8nm,SparsePCADenoisedRidgeMapV1,0.812336,47
kin8nm,CrossValidatedRidgeEquationV1,0.811901,46
kin8nm,SplitSparseLinearSimulatorV1,0.840140,62
kin8nm,CalibratedSparseSingleIndexV1,0.835816,59
kin8nm,SparseSplineBackboneV1,1.181644,71
kin8nm,StabilityCalibratedLinearMapV1,0.814150,50
kin8nm,SparseLatentSplineRidgeV1,0.825576,58
kin8nm,StabilityMassRidgeEquationV2,0.825370,56
pmlb/1027_ESL,PyGAM,0.374026,51
pmlb/1027_ESL,DT_mini,0.576479,70
pmlb/1027_ESL,DT_large,0.529210,66
pmlb/1027_ESL,OLS,0.361241,13
pmlb/1027_ESL,LassoCV,0.361351,19
pmlb/1027_ESL,RidgeCV,0.361933,29
pmlb/1027_ESL,RF,0.463850,64
pmlb/1027_ESL,GBM,0.380681,57
pmlb/1027_ESL,MLP,0.370737,45
pmlb/1027_ESL,FIGS_mini,0.539162,67
pmlb/1027_ESL,FIGS_large,0.437071,62
pmlb/1027_ESL,RuleFit,0.366258,39
pmlb/1027_ESL,HSTree_mini,0.575679,69
pmlb/1027_ESL,HSTree_large,0.519495,65
pmlb/1027_ESL,EBM,0.364431,37
pmlb/1027_ESL,TabPFN,0.373296,48
pmlb/1027_ESL,DecisionTreeSimple,0.562239,68
pmlb/1027_ESL,SparseBasisPursuitV1,0.379187,56
pmlb/1027_ESL,GreedyKnotAdditiveV1,0.462853,63
pmlb/1027_ESL,SparseSymbolicAdditiveV2,0.378234,55
pmlb/1027_ESL,ResidualRuleLinearV1,0.366842,42
pmlb/1027_ESL,SparseHingeInteractionV1,0.359952,7
pmlb/1027_ESL,RawSymbolicFSV1,0.351165,2
pmlb/1027_ESL,OrthoSymbolicV1,0.366760,40
pmlb/1027_ESL,OrthoSymbolicV2,0.366760,41
pmlb/1027_ESL,KnotSparseAdditiveV1,0.372120,46
pmlb/1027_ESL,SparseLinearRuleGateV1,0.375629,54
pmlb/1027_ESL,GlobalRidgeOneHingeV1,0.373635,49
pmlb/1027_ESL,StabilitySparseHingeV1,0.374006,50
pmlb/1027_ESL,SparseAdditiveInteractionV1,0.374162,52
pmlb/1027_ESL,StabilityPiecewiseSparseV1,0.361510,23
pmlb/1027_ESL,GCVSparseHingeRidgeV1,0.359008,6
pmlb/1027_ESL,BiRegionSparseLinearV1,0.360423,11
pmlb/1027_ESL,QuantizedSparseRidgeV1,0.362994,35
pmlb/1027_ESL,AdaptiveRidgeOneHingeV1,0.360423,12
pmlb/1027_ESL,RobustSparseRidgeIRLSV1,0.384951,60
pmlb/1027_ESL,DenseRidgeResidualBasisV1,0.361791,26
pmlb/1027_ESL,GreedyAdditiveSplineV1,0.361791,27
pmlb/1027_ESL,CalibratedSparseRidgeMapV1,0.361329,17
pmlb/1027_ESL,AdaptiveElasticHingeMapV1,0.361253,15
pmlb/1027_ESL,SparseSingleIndexSplineV1,0.356496,3
pmlb/1027_ESL,SplitCalibratedSparseLinearV1,0.374444,53
pmlb/1027_ESL,AdaptiveWeightedRidgeSparseV1,0.360323,10
pmlb/1027_ESL,SparseSymbolicAtlasV1,0.383985,58
pmlb/1027_ESL,ResidualizedHingeRidgeV2,0.363238,36
pmlb/1027_ESL,StagewiseSymbolicV1,0.350422,1
pmlb/1027_ESL,ResidualTreeSparseLinearV1,0.362919,34
pmlb/1027_ESL,RiskCalibratedSparseRidgeV1,0.361241,14
pmlb/1027_ESL,SVDGCVRidgeMapV1,0.361967,30
pmlb/1027_ESL,RobustAdaptiveLinearMapV1,0.361601,24
pmlb/1027_ESL,SparseAdditiveBasisPursuitV1,0.588344,71
pmlb/1027_ESL,RidgeOneHingeResidualV1,0.367630,43
