dataset,model,rmse,rank
pol,SparseAdditiveKnot_v1,0.632058,31
pol,CompactRuleLinear_v1,0.603970,22
pol,ResidualBasisRidge_v1,0.691477,37
pol,SparseResidualHybrid_v1,0.629144,30
pol,ValidatedSymbolicResidual_v1,0.622964,27
pol,SparseRidgeOneHinge_v1,0.826985,52
pol,DenseBackboneHingePair_v1,0.708942,45
pol,ScreenedAdaptiveBasis_v1,0.559403,17
pol,SparseQuantizedKnot_v1,0.694396,39
pol,SymbolicResidualHybridDense_v1,0.621801,26
pol,BackfitHingeGAM_v1,2.421669,60
pol,ProjectedSplineResidual_v1,0.867643,57
pol,SparseSignedHingeDict_v1,0.837197,54
pol,SparsePairwiseSpline_v1,0.617894,25
pol,QuantizedAdaptiveRidge_v1,1.098897,58
pol,QuantizedAdaptiveRidge_v2,1.098897,59
pol,DenseRidgeOneKnot_v1,,
pol,DenseRidgeOneKnot_v2,0.628335,29
pol,LinearStepRule_v1,0.626936,28
pol,TwinHingeAdditiveRidge_v1,0.708920,44
pol,AdditiveStepRidge_v1,0.597182,21
pol,ScoreSplineLinear_v1,0.655483,34
pol,AdaptiveStepLinear_v1,0.706502,40
pol,DebiasedSparseLinear_v1,0.712056,49
pol,SpectralRidgeCV_v1,0.708887,41
pol,ResidualStumpRidge_v1,0.674381,35
pol,SingleIndexSpline_v1,0.520779,13
pol,SingleIndexSpline_v2,0.520779,14
pol,GreedyMedianHinge_v1,0.638412,33
pol,RobustAdaptiveLinear_v1,0.708909,43
pol,SparseAdditiveHingeRidge_v1,0.824980,51
pol,LinearBoostedRules_v1,0.593437,20
pol,SparseMeanHingeAdditive_v1,0.693629,38
pol,SplitLinearModelTree_v1,0.612798,24
pol,OrthogonalRidgeEquation_v1,0.708887,42
pol,SparseAdaptiveSplineRidge_v1,0.556553,16
pol,SparseLinearRuleBoost_v1,0.636095,32
kin8nm,PyGAM,0.804420,18
kin8nm,DT_mini,0.877689,57
kin8nm,DT_large,0.890079,59
kin8nm,OLS,0.811674,32
kin8nm,LassoCV,0.811735,35
kin8nm,RidgeCV,0.811697,34
kin8nm,RF,0.781796,6
kin8nm,GBM,0.755496,4
kin8nm,MLP,0.491650,2
kin8nm,FIGS_mini,0.849805,53
kin8nm,FIGS_large,0.802428,17
kin8nm,RuleFit,0.870177,54
kin8nm,HSTree_mini,0.874538,56
kin8nm,HSTree_large,0.870956,55
kin8nm,EBM,0.715820,3
kin8nm,TabPFN,0.376809,1
kin8nm,DecisionTreeSimple,0.880616,58
kin8nm,SparseHingeAdd_v1,0.799780,14
kin8nm,SparseSymbolicGreedy_v1,0.820474,47
