dataset,model,rmse,rank
pmlb/1027_ESL,SparseBinShape_v1,0.366625,34
pmlb/1027_ESL,HybridRidgeHinge_v1,0.376997,50
pmlb/1027_ESL,StableSparseLOORidge_v1,0.361783,19
pmlb/1027_ESL,SpectralPruneRidge_v1,0.361312,14
pmlb/1027_ESL,DualMapStabilityRidge_v1,0.361967,22
pmlb/1027_ESL,SparseMedianHinge_v1,0.368626,35
pmlb/1027_ESL,ResidualSnapSpline_v1,0.369661,37
pmlb/1027_ESL,BaggedMedianStableRidge_v1,0.361967,23
pmlb/1027_ESL,StabWeightRidge_v1,0.362121,26
pmlb/1027_ESL,RidgeGarroteStable_v1,0.361433,16
pmlb/1027_ESL,AdaptiveSplineRidge_v1,0.373108,43
pmlb/1027_ESL,SparseQuantileGAM_v1,0.373072,42
pmlb/1027_ESL,ResidualRuleRidgeHybrid_v1,0.364718,31
pmlb/1027_ESL,SparseSmoothBackfit_v1,0.551177,62
pmlb/1027_ESL,BasisSwitchRidge_v1,0.361967,24
pmlb/1027_ESL,HuberRidgeIRLS_v1,0.361994,25
pmlb/1027_ESL,ResidualTanhRidge_v1,0.361952,21
pmlb/1027_ESL,SparseResidualQuadRidge_v1,0.356989,7
pmlb/1027_ESL,ComplexityDistilledRidge_v1,0.361644,17
pmlb/1027_ESL,SparseTailSplineRidge_v1,0.375121,47
pmlb/1027_ESL,AdaptiveWeightedGCVRidge_v1,0.361307,13
pmlb/1027_ESL,CompactResidualHingeAdd_v1,0.372899,41
pmlb/1027_ESL,TriRegionGateSparse_v1,0.372495,40
pmlb/1027_ESL,SignalWeightedTrimmedRidge_v1,0.359937,9
pmlb/1027_ESL,SparseKnotAdditive_v1,0.377398,51
pmlb/1027_ESL,BoostedBinPair_v1,,
pmlb/1027_ESL,BoostedBinPair_v2,0.401690,55
pmlb/1028_SWD,PyGAM,0.805003,18
pmlb/1028_SWD,DT_mini,0.832135,57
pmlb/1028_SWD,DT_large,0.793244,6
pmlb/1028_SWD,OLS,0.814927,39
pmlb/1028_SWD,LassoCV,0.814599,36
pmlb/1028_SWD,RidgeCV,0.814285,35
pmlb/1028_SWD,RF,0.785704,3
pmlb/1028_SWD,GBM,0.784908,2
pmlb/1028_SWD,MLP,0.798779,9
pmlb/1028_SWD,FIGS_mini,0.805813,19
pmlb/1028_SWD,FIGS_large,0.789555,5
pmlb/1028_SWD,RuleFit,0.818640,42
pmlb/1028_SWD,HSTree_mini,0.829304,55
pmlb/1028_SWD,HSTree_large,0.798450,8
pmlb/1028_SWD,EBM,0.798100,7
pmlb/1028_SWD,TabPFN,0.784088,1
pmlb/1028_SWD,DecisionTreeSimple,0.821595,48
pmlb/1028_SWD,SparseAddHinge_v1,0.804745,17
pmlb/1028_SWD,ResidualRuleLin_v1,0.820878,47
pmlb/1028_SWD,SparseSymAdd_v2,0.819132,44
pmlb/1028_SWD,StagewisePiece_v1,0.810758,24
pmlb/1028_SWD,SparseRootLin_v1,0.806298,20
pmlb/1028_SWD,SparseTailHinge_v1,,
pmlb/1028_SWD,SparseTailHinge_v2,0.828100,54
pmlb/1028_SWD,MonoBinAdd_v1,0.826671,53
pmlb/1028_SWD,OrthoPieceAdd_v1,0.825452,52
pmlb/1028_SWD,SparseHierInter_v1,0.810392,23
pmlb/1028_SWD,SparseOrthoPoly_v1,1.086571,67
pmlb/1028_SWD,GateLinTree_v1,0.787478,4
